,1ADF,2JHF,1MGO,1EE2,1QV6,1A71,1N8K,1N92,1P1R,1YE3,3BTO,1QV7,1KUV,1KUY,1KUX,1L0C,1IB1e,1IB1f,1IB1g,1IB1h,1B6B,1B6Bb,1B73,2DWU,1ZUW,1B74,3IST,2JFU,2GZM,3ISV,3HFR,2JFV,2OHO,1EP0,1PM7,1NXM,2IXK,1WLT,1DZR,1RTV,2B9U,1NZC,1NYW,1CLK,1A0C,1MUW,1BXB,2GLK,1QT1,1XIM,1XLA,1DXI,2GYI,1XYL,1S5N,1XYA,3RUBl,8RUC,2VDI,1UZH,1UWA,1UPMs,1SVDm,1RXOc,1IWAb,1IR1s,1GK8i
3BTO,0.0561497326203,0.0909090909091,0.0347593582888,0.0402144772118,0.0294117647059,0.0561497326203,0.0267379679144,0.0427807486631,0.0454545454545,0.0454545454545,1.0,0.0641711229947,0.0542168674699,0.0722891566265,0.0602409638554,0.102409638554,0.128491620112,0.262569832402,0.0782122905028,0.195530726257,0.0595238095238,0.0961538461538,0.0595238095238,0.0827067669173,0.0725190839695,0.0750988142292,0.0597014925373,0.0664206642066,0.0486891385768,0.0561797752809,0.0827067669173,0.0516605166052,0.0932835820896,0.207650273224,0.115577889447,0.139175257732,0.114130434783,0.113636363636,0.142076502732,0.108695652174,0.0568181818182,0.0816326530612,0.0876288659794,0.0320855614973,0.0294117647059,0.048128342246,0.048128342246,0.0320855614973,0.0454545454545,0.0401069518717,0.0320855614973,0.0374331550802,0.0374331550802,0.0294117647059,0.0454545454545,0.0427807486631,0.0427807486631,0.0935828877005,0.0213903743316,0.0401069518717,0.0802139037433,0.105691056911,0.0833333333333,0.121951219512,0.0869565217391,0.219512195122,0.126984126984
1QV7,0.0320855614973,0.0347593582888,0.0561497326203,0.0670241286863,0.0641711229947,0.0695187165775,0.0748663101604,0.0935828877005,0.0748663101604,0.0427807486631,0.0641711229947,1.0,0.0602409638554,0.0542168674699,0.0602409638554,0.0843373493976,0.100558659218,0.0614525139665,0.0502793296089,0.100558659218,0.0654761904762,0.0769230769231,0.0595238095238,0.105263157895,0.0610687022901,0.0553359683794,0.0746268656716,0.0369003690037,0.0524344569288,0.0486891385768,0.0563909774436,0.029520295203,0.0932835820896,0.109289617486,0.070351758794,0.0618556701031,0.0869565217391,0.136363636364,0.114754098361,0.0923913043478,0.0568181818182,0.0357142857143,0.0721649484536,0.0508021390374,0.0374331550802,0.0374331550802,0.0534759358289,0.0641711229947,0.0401069518717,0.0347593582888,0.0401069518717,0.0641711229947,0.0374331550802,0.0454545454545,0.0534759358289,0.0508021390374,0.0347593582888,0.0614973262032,0.0294117647059,0.0454545454545,0.0427807486631,0.0975609756098,0.12962962963,0.121951219512,0.123188405797,0.268292682927,0.190476190476
1KUV,0.198795180723,0.102409638554,0.174698795181,0.078313253012,0.0903614457831,0.222891566265,0.0602409638554,0.0602409638554,0.150602409639,0.066265060241,0.0542168674699,0.0602409638554,1.0,0.156626506024,0.246987951807,0.120481927711,0.10843373494,0.078313253012,0.066265060241,0.114457831325,0.0602409638554,0.0833333333333,0.102409638554,0.0843373493976,0.0903614457831,0.10843373494,0.132530120482,0.0602409638554,0.0481927710843,0.0903614457831,0.168674698795,0.0722891566265,0.066265060241,0.078313253012,0.0602409638554,0.0722891566265,0.0722891566265,0.0903614457831,0.066265060241,0.078313253012,0.066265060241,0.0542168674699,0.0542168674699,0.156626506024,0.0903614457831,0.10843373494,0.10843373494,0.156626506024,0.156626506024,0.156626506024,0.10843373494,0.10843373494,0.174698795181,0.0542168674699,0.0963855421687,0.102409638554,0.0542168674699,0.10843373494,0.0903614457831,0.0481927710843,0.0963855421687,0.146341463415,0.111111111111,0.162601626016,0.195652173913,0.178861788618,0.0873015873016
1KUY,0.0903614457831,0.0602409638554,0.066265060241,0.10843373494,0.0722891566265,0.0963855421687,0.078313253012,0.0903614457831,0.078313253012,0.10843373494,0.0722891566265,0.0542168674699,0.156626506024,1.0,0.0903614457831,0.0542168674699,0.0602409638554,0.0361445783133,0.114457831325,0.168674698795,0.066265060241,0.0320512820513,0.0722891566265,0.078313253012,0.0602409638554,0.102409638554,0.078313253012,0.0963855421687,0.0722891566265,0.120481927711,0.066265060241,0.126506024096,0.078313253012,0.0542168674699,0.0963855421687,0.21686746988,0.0963855421687,0.066265060241,0.168674698795,0.120481927711,0.0421686746988,0.126506024096,0.0602409638554,0.150602409639,0.174698795181,0.078313253012,0.102409638554,0.228915662651,0.0722891566265,0.228915662651,0.0843373493976,0.198795180723,0.168674698795,0.180722891566,0.066265060241,0.102409638554,0.0542168674699,0.120481927711,0.114457831325,0.10843373494,0.0722891566265,0.0975609756098,0.111111111111,0.0569105691057,0.101449275362,0.0813008130081,0.0555555555556
1KUX,0.0843373493976,0.114457831325,0.114457831325,0.114457831325,0.0963855421687,0.0722891566265,0.114457831325,0.066265060241,0.078313253012,0.0542168674699,0.0602409638554,0.0602409638554,0.246987951807,0.0903614457831,1.0,0.0903614457831,0.0602409638554,0.0542168674699,0.0602409638554,0.0722891566265,0.0903614457831,0.0897435897436,0.078313253012,0.0963855421687,0.0963855421687,0.10843373494,0.0602409638554,0.078313253012,0.0542168674699,0.066265060241,0.126506024096,0.0602409638554,0.0903614457831,0.0722891566265,0.138554216867,0.0722891566265,0.198795180723,0.132530120482,0.114457831325,0.16265060241,0.0602409638554,0.120481927711,0.0542168674699,0.180722891566,0.0903614457831,0.174698795181,0.114457831325,0.132530120482,0.078313253012,0.156626506024,0.0421686746988,0.234939759036,0.156626506024,0.132530120482,0.078313253012,0.138554216867,0.120481927711,0.0602409638554,0.0722891566265,0.078313253012,0.150602409639,0.0731707317073,0.0648148148148,0.113821138211,0.224637681159,0.0731707317073,0.0634920634921
1L0C,0.120481927711,0.078313253012,0.0602409638554,0.078313253012,0.0722891566265,0.0843373493976,0.0903614457831,0.102409638554,0.120481927711,0.138554216867,0.102409638554,0.0843373493976,0.120481927711,0.0542168674699,0.0903614457831,1.0,0.10843373494,0.066265060241,0.0361445783133,0.102409638554,0.114457831325,0.0769230769231,0.114457831325,0.078313253012,0.078313253012,0.0903614457831,0.0843373493976,0.078313253012,0.078313253012,0.102409638554,0.0722891566265,0.0542168674699,0.186746987952,0.120481927711,0.156626506024,0.126506024096,0.0421686746988,0.132530120482,0.138554216867,0.0542168674699,0.0542168674699,0.0843373493976,0.144578313253,0.132530120482,0.0903614457831,0.0963855421687,0.078313253012,0.0843373493976,0.0481927710843,0.21686746988,0.0481927710843,0.0903614457831,0.180722891566,0.168674698795,0.066265060241,0.150602409639,0.16265060241,0.120481927711,0.0722891566265,0.0903614457831,0.0963855421687,0.0731707317073,0.0648148148148,0.19512195122,0.13768115942,0.0569105691057,0.0634920634921
1IB1e,0.111731843575,0.0893854748603,0.0614525139665,0.0670391061453,0.184357541899,0.0558659217877,0.0949720670391,0.0558659217877,0.0558659217877,0.0558659217877,0.128491620112,0.100558659218,0.10843373494,0.0602409638554,0.0602409638554,0.10843373494,1.0,0.184357541899,0.072625698324,0.0614525139665,0.0714285714286,0.0641025641026,0.0446927374302,0.128491620112,0.0837988826816,0.0837988826816,0.0837988826816,0.072625698324,0.0782122905028,0.0837988826816,0.0558659217877,0.0558659217877,0.150837988827,0.0670391061453,0.117318435754,0.0558659217877,0.072625698324,0.0909090909091,0.072625698324,0.0837988826816,0.0511363636364,0.0558659217877,0.0558659217877,0.0670391061453,0.0670391061453,0.0893854748603,0.0614525139665,0.072625698324,0.072625698324,0.128491620112,0.0558659217877,0.0558659217877,0.0558659217877,0.0670391061453,0.106145251397,0.0670391061453,0.0614525139665,0.106145251397,0.0670391061453,0.0837988826816,0.0614525139665,0.105691056911,0.0925925925926,0.0813008130081,0.108695652174,0.138211382114,0.134920634921
1IB1f,0.0391061452514,0.0782122905028,0.0782122905028,0.150837988827,0.0446927374302,0.100558659218,0.0782122905028,0.106145251397,0.0949720670391,0.0782122905028,0.262569832402,0.0782122905028,0.078313253012,0.0361445783133,0.0542168674699,0.066265060241,0.184357541899,1.0,0.122905027933,0.145251396648,0.0833333333333,0.0512820512821,0.100558659218,0.0502793296089,0.106145251397,0.0391061452514,0.100558659218,0.0446927374302,0.0893854748603,0.0502793296089,0.072625698324,0.0614525139665,0.0893854748603,0.0502793296089,0.0670391061453,0.0837988826816,0.072625698324,0.0909090909091,0.156424581006,0.111731843575,0.0625,0.0446927374302,0.0782122905028,0.0391061452514,0.162011173184,0.0558659217877,0.0949720670391,0.0502793296089,0.0837988826816,0.0502793296089,0.117318435754,0.0614525139665,0.128491620112,0.0558659217877,0.0558659217877,0.0391061452514,0.0446927374302,0.122905027933,0.0614525139665,0.100558659218,0.0614525139665,0.0894308943089,0.0740740740741,0.252032520325,0.0652173913043,0.0813008130081,0.0793650793651
1IB1g,0.0893854748603,0.0782122905028,0.072625698324,0.0670391061453,0.0837988826816,0.0949720670391,0.100558659218,0.0670391061453,0.173184357542,0.106145251397,0.0782122905028,0.0502793296089,0.066265060241,0.114457831325,0.0602409638554,0.0361445783133,0.072625698324,0.122905027933,1.0,0.0670391061453,0.0892857142857,0.0641025641026,0.122905027933,0.0614525139665,0.117318435754,0.0782122905028,0.156424581006,0.0502793296089,0.122905027933,0.0893854748603,0.072625698324,0.0670391061453,0.0502793296089,0.162011173184,0.0837988826816,0.106145251397,0.0949720670391,0.142045454545,0.072625698324,0.0446927374302,0.113636363636,0.139664804469,0.0670391061453,0.0502793296089,0.0782122905028,0.195530726257,0.100558659218,0.0837988826816,0.0502793296089,0.0670391061453,0.0837988826816,0.106145251397,0.122905027933,0.128491620112,0.0614525139665,0.134078212291,0.150837988827,0.0614525139665,0.111731843575,0.134078212291,0.0446927374302,0.105691056911,0.101851851852,0.0813008130081,0.166666666667,0.0731707317073,0.134920634921
1IB1h,0.0893854748603,0.0893854748603,0.106145251397,0.206703910615,0.0837988826816,0.0949720670391,0.072625698324,0.111731843575,0.117318435754,0.106145251397,0.195530726257,0.100558659218,0.0421686746988,0.168674698795,0.0722891566265,0.102409638554,0.0614525139665,0.145251396648,0.0670391061453,1.0,0.0833333333333,0.108974358974,0.0670391061453,0.0837988826816,0.0614525139665,0.0837988826816,0.156424581006,0.0502793296089,0.0614525139665,0.0614525139665,0.0782122905028,0.106145251397,0.0670391061453,0.134078212291,0.156424581006,0.100558659218,0.0949720670391,0.0909090909091,0.072625698324,0.0614525139665,0.113636363636,0.072625698324,0.0782122905028,0.0893854748603,0.100558659218,0.0837988826816,0.0782122905028,0.128491620112,0.134078212291,0.201117318436,0.0893854748603,0.100558659218,0.072625698324,0.139664804469,0.139664804469,0.100558659218,0.150837988827,0.0670391061453,0.0837988826816,0.139664804469,0.0670391061453,0.121951219512,0.0740740740741,0.0569105691057,0.130434782609,0.130081300813,0.142857142857
